"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"RC0805FR-074K7L","Yageo","311-4.70KCRCT-ND","R5","","Cut Tape (CT)","Active","1","0.10000","$0.10","1679994","24 Weeks","RES SMD 4.7K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"PTS645SL50SMTR92 LFS","C&K","CKN9088CT-ND","SW1","","Cut Tape (CT)","Active","1","0.25000","$0.25","99873","14 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"SM4004PL-TP","Micro Commercial Co","SM4004PL-TPMSCT-ND","D10, D11, D12, D13","","Cut Tape (CT)","Active","4","0.43000","$1.72","36149","12 Weeks","DIODE GEN PURP 400V 1A SOD123FL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805ZT0R00","Stackpole Electronics Inc","RMCF0805ZT0R00CT-ND","X1, X2, X3, X4, X5, X6, X7, X8","","Cut Tape (CT)","Active","8","0.10000","$0.80","1034801","20 Weeks","RES 0 OHM JUMPER 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"4191","Adafruit Industries LLC","1528-2948-ND","BT1","","Bulk","Active","1","1.95000","$1.95","141","Not Available","2 X AAA BATTERY HOLDER WITH ON/O","Vendor undefined","Not Available","Not Available"
"APTR3216SYCK","Kingbright","754-1174-1-ND","D1, D2, D3, D4, D5, D6, D7, D8, D9","","Cut Tape (CT)","Active","9","0.31000","$2.79","84152","12 Weeks","LED YELLOW CLEAR CHIP SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT51R0","Stackpole Electronics Inc","738-RMCF0805FT51R0CT-ND","R1, R2, R3, R4","","Cut Tape (CT)","Active","4","0.10000","$0.40","14430","20 Weeks","RES 51 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"3020-06-0300-00","CNC Tech","1175-1864-ND","J1","","Tray","Active","1","0.48000","$0.48","2160","18 Weeks","CONN HEADER SMD 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"114-87-308-41-134161","Preci-Dip","1212-1032-ND","U1","","Tube","Active","1","0.57000","$0.57","7320","15 Weeks","CONN IC DIP SOCKET 8POS GOLD","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATTINY85-20PU","Microchip Technology","ATTINY85-20PU-ND","U1","","Tube","Active","1","1.20000","$1.20","4688","25 Weeks","IC MCU 8BIT 8KB FLASH 8DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
